index_name,recall,throughput,latency,build time
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.3781772977,8367.183624,0.0009643798126,97.72087464
raft_ivf_pq.nlist1024.pq_dim32.pq_bits5.ratio1.niter25,0.5704964539,8298.78565,0.0009745737621,45.14662989
raft_ivf_pq.nlist1024.pq_dim32.pq_bits6.ratio1.niter25,0.5824647391,8251.201446,0.0009765956853,47.26806996
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.7211468531,8248.803235,0.0009771335549,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.7231558219,8244.836406,0.0009757630366,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits6.ratio1.niter25,0.7496693213,8239.470572,0.0009758585602,96.81328417
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8154511938,8175.190448,0.0009840267252,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8157263271,8106.859092,0.0009957852034,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8874201742,7985.338898,0.001008568626,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8875124467,7924.991101,0.001017244304,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8875361795,7866.28529,0.001024515491,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8913875,6881.334564,0.001168972645,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8914194915,6705.689379,0.001197698182,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.8914291737,6689.079311,0.001202008998,97.72087464
raft_ivf_pq.nlist4096.pq_dim64.pq_bits6.ratio1.niter25,0.9427095661,6228.429131,0.001309138181,102.8806902
raft_ivf_pq.nlist1024.pq_dim32.pq_bits6.ratio1.niter25,0.9602196262,6100.685376,0.001318719063,47.26806996
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.9890332397,6092.720675,0.001322778641,97.72087464
raft_ivf_pq.nlist1024.pq_dim64.pq_bits8.ratio1.niter25,0.989072736,5906.824466,0.001376186211,97.72087464
